,studio,project_id,title,description,instructions,writing,author/id,project_author_username,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,remix/parent,remix/root,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,Unnamed: 12,language
10,18,237138209,Unstuck Day 19,I am stuck today.  This code works sometimes and not others.  Is it my computer or a bug?  I will come back to it later to see if I can trouble shoot.,Just click the green flag.,I am stuck today.  This code works sometimes and not others.  Is it my computer or a bug?  I will come back to it later to see if I can trouble shoot.Just click the green flag.,24826697,sleifer,https://cdn2.scratch.mit.edu/get_image/project/237138209_480x360.png,2018-07-23T11:21:13.000Z,2018-07-27T00:45:28.000Z,2018-07-23T11:42:15.000Z,7,1,0,,,19,3,0,0,0,5,2,17,14,0,['en']
11,18,237113181,EC Maker Game,"This is a sketch for a ""maker game"" I drew two years ago as part of a ""maker games"" project made possible by Tufts CEEO Innovation Fund. Two of us later produced a very different game but I've always wanted to develop this sketch for early childhood students. 

For day 19 of GettingUnstuck, in which the theme is cloning, I'm sharing the sketch and inviting others to remix (i.e., ""clone"") it and develop their own games. Feel free to use, remix, and riff on this backdrop in any context within Scratch (if you use this backdrop please credit me for the drawing). I'm going to be using this as the basis for some game design prototyping in a summer camp class this upcoming week.

The features of the board are listed below with corresponding iterative maker concepts:

school (where players start)
park (for play, rest, passion projects)
design & co (test and (re)design, outsource design)
patent office (protect IP)
general store (obtain new materials)
junkyard (obtain free materials, leftovers etc)
skate park (hack, tinker)
maker bank (obtain funds for new materials*)
movie theater (develop and share documentation/narrative)
public library (research)
museum of makings (exhibit works)
train station [lower left corner] (pitch/present)

This drawing was loosely based on my hometown. At my game design summer camp week we'll be drawing maps as a starting point for some game backdrops as well.

*in some versions of our games players received tokens periodically which could be used to purchase materials. I like to use narrative as currency: players have to tell a story about their progress in order to obtain new building materials.
",Please Remix! . . . and develop virtual board games to support iterative maker-centered activities.,"This is a sketch for a ""maker game"" I drew two years ago as part of a ""maker games"" project made possible by Tufts CEEO Innovation Fund. Two of us later produced a very different game but I've always wanted to develop this sketch for early childhood students. 

For day 19 of GettingUnstuck, in which the theme is cloning, I'm sharing the sketch and inviting others to remix (i.e., ""clone"") it and develop their own games. Feel free to use, remix, and riff on this backdrop in any context within Scratch (if you use this backdrop please credit me for the drawing). I'm going to be using this as the basis for some game design prototyping in a summer camp class this upcoming week.

The features of the board are listed below with corresponding iterative maker concepts:

school (where players start)
park (for play, rest, passion projects)
design & co (test and (re)design, outsource design)
patent office (protect IP)
general store (obtain new materials)
junkyard (obtain free materials, leftovers etc)
skate park (hack, tinker)
maker bank (obtain funds for new materials*)
movie theater (develop and share documentation/narrative)
public library (research)
museum of makings (exhibit works)
train station [lower left corner] (pitch/present)

This drawing was loosely based on my hometown. At my game design summer camp week we'll be drawing maps as a starting point for some game backdrops as well.

*in some versions of our games players received tokens periodically which could be used to purchase materials. I like to use narrative as currency: players have to tell a story about their progress in order to obtain new building materials.
Please Remix! . . . and develop virtual board games to support iterative maker-centered activities.",33815227,daveywonder,https://cdn2.scratch.mit.edu/get_image/project/237113181_480x360.png,2018-07-23T03:41:42.000Z,2018-07-23T16:28:46.000Z,2018-07-23T11:59:13.000Z,19,2,0,,,19,2,0,0,0,22,1,5,4,0,['en']
12,18,237137593,Getting Unstuck #19,"I played with fireworks on day 6 https://scratch.mit.edu/projects/236008448/ and thought about using clones then. I looked at the Scratch wiki for inspiration this evening and it mentioned fireworks, so I had another go at it, this time with clones.
I'm happy with this, but if I were to do this again, or if I had more time I'd really want to master gravity, which is a big ask for someone who struggles with long division. 
I got the sound effects from https://freesound.org/s/142019/

V2 I added very simple gravity and some ghost effect to the clones so that they fade out as they fall. I'm pleased with it, and thanks to @alirb for pointing me in the direction of @HSSLab and @Mittensbrother 

",Just press the green flag. Use the slider to change the number of sparks.,"I played with fireworks on day 6 https://scratch.mit.edu/projects/236008448/ and thought about using clones then. I looked at the Scratch wiki for inspiration this evening and it mentioned fireworks, so I had another go at it, this time with clones.
I'm happy with this, but if I were to do this again, or if I had more time I'd really want to master gravity, which is a big ask for someone who struggles with long division. 
I got the sound effects from https://freesound.org/s/142019/

V2 I added very simple gravity and some ghost effect to the clones so that they fade out as they fall. I'm pleased with it, and thanks to @alirb for pointing me in the direction of @HSSLab and @Mittensbrother 

Just press the green flag. Use the slider to change the number of sparks.",141519,jentz,https://cdn2.scratch.mit.edu/get_image/project/237137593_480x360.png,2018-07-23T11:09:27.000Z,2018-07-24T05:24:18.000Z,2018-07-23T12:22:42.000Z,12,7,1,,,19,5,5,0,0,3,2,96,28,15,['en']
13,18,237139153,Bowtie Launcher,I first learned about clones years ago when I was coding a Flash 2.0 game and wanted to launch some projectiles. It remains my favorite thing to use a cloned sprite for.,"Click to launch a bowtie.

How much Oomph are you feeling today?","I first learned about clones years ago when I was coding a Flash 2.0 game and wanted to launch some projectiles. It remains my favorite thing to use a cloned sprite for.Click to launch a bowtie.

How much Oomph are you feeling today?",27306974,Mittensbrother,https://cdn2.scratch.mit.edu/get_image/project/237139153_480x360.png,2018-07-23T11:41:38.000Z,2018-07-24T01:08:11.000Z,2018-07-23T12:30:55.000Z,26,15,5,,,19,8,5,0,0,7,5,78,40,3,['en']
14,18,237140970,Getting Unstuck Day 19,Took the advice today to heart... this project evolved over 10 minutes. There are no comments and nothing is optimised or polished but it's quite fun. Runs out of clones after about 9 generations.,"Getting Unstuck Day 19

Create a project that uses the cloning features of Scratch. For example, you could make a project that represents a natural or human-made phenomenon.

Click the green flag and watch the cells divide.","Took the advice today to heart... this project evolved over 10 minutes. There are no comments and nothing is optimised or polished but it's quite fun. Runs out of clones after about 9 generations.Getting Unstuck Day 19

Create a project that uses the cloning features of Scratch. For example, you could make a project that represents a natural or human-made phenomenon.

Click the green flag and watch the cells divide.",2314547,RoboSquid,https://cdn2.scratch.mit.edu/get_image/project/237140970_480x360.png,2018-07-23T12:16:56.000Z,2018-07-23T12:36:29.000Z,2018-07-23T12:36:29.000Z,19,6,1,,,19,4,1,0,0,6,2,32,25,2,['en']
15,18,237106670,Critical Hit Revisited (Unstuck 19) ,"I couldn't let my #18 project go without another iteration! So...

After some research on the ""stop:all"" block - it looks like it works only for scripts that are started by the green flag - I decided to add a sword sprite and rethink some of the interactions. 

For today's prompt, it seemed appropriate to add some (cloned) loot drops. There are still a few ""features"" that I need to fix, but I'm happy with this so far!",Attack the Beholder with your sword for 1d4 damage or 2d8 on a critical hit (20). ,"I couldn't let my #18 project go without another iteration! So...

After some research on the ""stop:all"" block - it looks like it works only for scripts that are started by the green flag - I decided to add a sword sprite and rethink some of the interactions. 

For today's prompt, it seemed appropriate to add some (cloned) loot drops. There are still a few ""features"" that I need to fix, but I'm happy with this so far!Attack the Beholder with your sword for 1d4 damage or 2d8 on a critical hit (20). ",27690149,ilabformaking,https://cdn2.scratch.mit.edu/get_image/project/237106670_480x360.png,2018-07-23T02:00:49.000Z,2018-07-24T02:32:55.000Z,2018-07-23T12:50:28.000Z,7,3,0,,,19,8,2,0,0,7,3,81,41,6,['en']
16,18,237142159,Day 19 of Getting Unstuck,,Clicca la bandierina verde e.... Buon compleanno,nanClicca la bandierina verde e.... Buon compleanno,10086796,ANTONELLA_CARROZZINI,https://cdn2.scratch.mit.edu/get_image/project/237142159_480x360.png,2018-07-23T12:38:14.000Z,2018-07-23T12:56:38.000Z,2018-07-23T12:56:11.000Z,15,6,0,,,19,14,1,0,0,8,7,53,13,9,['it']
17,18,237143180,_clone copy,,"solo per usare liste/array e cloni
","nansolo per usare liste/array e cloni
",443100,maurici,https://cdn2.scratch.mit.edu/get_image/project/237143180_480x360.png,2018-07-23T12:54:49.000Z,2018-07-23T13:00:23.000Z,2018-07-23T13:00:23.000Z,18,2,0,,,19,2,1,4,0,3,1,37,19,0,[]
18,18,135999227,3D Illusion,"Getting Unstuck: Day 19
3D simulation using clones of triangles",,,2143382,CyberParra,https://cdn2.scratch.mit.edu/get_image/project/135999227_480x360.png,2016-12-12T17:55:56.000Z,2018-07-23T13:03:36.000Z,2018-07-23T13:03:36.000Z,25,11,6,,,19,4,7,0,0,4,1,51,23,0,[]
19,18,237141067,getting unstucked day19,"I' not sure i've understand the potentialities of cloning
Non credo di aver compreso appieno le potenzialità del clonare...","Just click on the green flag
click sulla bandie","I' not sure i've understand the potentialities of cloning
Non credo di aver compreso appieno le potenzialità del clonare...Just click on the green flag
click sulla bandie",25103547,annag79,https://cdn2.scratch.mit.edu/get_image/project/237141067_480x360.png,2018-07-23T12:18:49.000Z,2018-07-23T12:58:22.000Z,2018-07-23T12:58:22.000Z,13,2,0,,,19,4,0,0,0,11,2,29,11,0,['en']
20,18,237141769,Getting Unstuck: Day 19,"I have not played with the clone command much. I am going to come back and learn more about this command. I added elements of other projects - random, repeat, etc.  I have it set to repeat 30, so it stops after displaying 90 designs.

",Press the green flag to see the design.,"I have not played with the clone command much. I am going to come back and learn more about this command. I added elements of other projects - random, repeat, etc.  I have it set to repeat 30, so it stops after displaying 90 designs.

Press the green flag to see the design.",17807175,ogranatedu,https://cdn2.scratch.mit.edu/get_image/project/237141769_480x360.png,2018-07-23T12:31:09.000Z,2018-07-23T13:18:11.000Z,2018-07-23T13:18:11.000Z,8,2,0,,,19,19,0,0,0,5,2,91,16,9,['en']
21,18,237142800,Random cloning,"Just a simple cloning project with three random costumes.
Done by following the Help notes that come with the blocks.","Click green flag to start.

Getting unstuck # Day 19

Press space to create a clone. You have to click green flag to see a different costume (random).","Just a simple cloning project with three random costumes.
Done by following the Help notes that come with the blocks.Click green flag to start.

Getting unstuck # Day 19

Press space to create a clone. You have to click green flag to see a different costume (random).",158902,aitan,https://cdn2.scratch.mit.edu/get_image/project/237142800_480x360.png,2018-07-23T12:49:14.000Z,2018-07-23T13:31:27.000Z,2018-07-23T13:10:58.000Z,15,3,0,,,19,3,0,0,0,4,1,22,20,2,['en']
22,18,237137887,Apple finder,"I used 224 clones, something with this cloning is wrong - some scripts bad working (if-then-else operation, timer)
Soundtrack - Traditional Chinese Music ""Weather""","Find the apple by clicking on the hexagons.
The color of the hexagon after clicking depends on the distance to the hidden apple.
Space bar - start the game.
""p"" key - pause on/off
The more blue is - the closer to an apple","I used 224 clones, something with this cloning is wrong - some scripts bad working (if-then-else operation, timer)
Soundtrack - Traditional Chinese Music ""Weather""Find the apple by clicking on the hexagons.
The color of the hexagon after clicking depends on the distance to the hidden apple.
Space bar - start the game.
""p"" key - pause on/off
The more blue is - the closer to an apple",139209,gromko,https://cdn2.scratch.mit.edu/get_image/project/237137887_480x360.png,2018-07-23T11:15:13.000Z,2018-07-23T14:52:49.000Z,2018-07-23T13:39:59.000Z,17,10,2,,,19,14,13,0,0,10,4,138,38,1,['en']
23,18,237127815,Dancing with stars,"Very simple project: some evening ago I went to see a classic ballet outdoors, suggestive!
I try to propose the magic of the show.",Simply click on the green flag.,"Very simple project: some evening ago I went to see a classic ballet outdoors, suggestive!
I try to propose the magic of the show.Simply click on the green flag.",11312120,mariateresas,https://cdn2.scratch.mit.edu/get_image/project/237127815_480x360.png,2018-07-23T08:06:44.000Z,2018-07-23T21:55:25.000Z,2018-07-23T13:29:50.000Z,13,5,0,,,19,19,0,0,0,28,11,119,29,0,['en']
24,18,142383114,Asteroidal 6 (GetUnstuck#19),"I did borrow ideas and bits of code from others but I actually made this ages ago and I've forgotten who they were. I'll make an effort to find out someday soon and will credit accordingly. Apart from the asteroids, all other so-called 'artwork' is my own.

The ship does have a certain degree of inertia (ie it should 'coast' after you take your finger off the 'thrust') but it needs tweaking. 

To add (someday!):
Asteroids should break apart into smaller frocks when hit, creating harder-to-hit targets.
Increasing levels of difficulty
Better ship design! ","Work-in-progress inspired by ASTEROIDS. Created this to experiment with clones, firing lasers/bullets, and the play/pause function. I was also curious about making things re-appear on the opposite side of the screen (as in 'proper' ASTEROIDS).

Cursor/arrow left/right to rotate, up arrow to move/fire thruster. x fires 'retro' rockets (handy because there's no maximum speed!), space fires laser.","I did borrow ideas and bits of code from others but I actually made this ages ago and I've forgotten who they were. I'll make an effort to find out someday soon and will credit accordingly. Apart from the asteroids, all other so-called 'artwork' is my own.

The ship does have a certain degree of inertia (ie it should 'coast' after you take your finger off the 'thrust') but it needs tweaking. 

To add (someday!):
Asteroids should break apart into smaller frocks when hit, creating harder-to-hit targets.
Increasing levels of difficulty
Better ship design! Work-in-progress inspired by ASTEROIDS. Created this to experiment with clones, firing lasers/bullets, and the play/pause function. I was also curious about making things re-appear on the opposite side of the screen (as in 'proper' ASTEROIDS).

Cursor/arrow left/right to rotate, up arrow to move/fire thruster. x fires 'retro' rockets (handy because there's no maximum speed!), space fires laser.",3094436,CDBrian,https://cdn2.scratch.mit.edu/get_image/project/142383114_480x360.png,2017-01-28T20:54:40.000Z,2018-07-23T13:45:45.000Z,2017-02-16T11:35:17.000Z,8,4,0,,,19,33,15,0,3,32,8,300,48,6,['en']
25,18,237146579,Snowflakes,"I got help from Snowflake Simulator from the book Coding Projects in Scratch: A step-by-step visual guide to coding your own animations, games, simulations and more! by Jon Woodcock @RoboSquid.

This was a good starting off point for me. I need to work on and improve my understanding and use of more complex variables and conditions.  This has also been a good way for me to work on these challenges while exploring resources that I just received for use in my classroom next year.","Click Green Flag to begin.

Click anywhere on the background to create random snowflakes.

Click Space Bar to clear.","I got help from Snowflake Simulator from the book Coding Projects in Scratch: A step-by-step visual guide to coding your own animations, games, simulations and more! by Jon Woodcock @RoboSquid.

This was a good starting off point for me. I need to work on and improve my understanding and use of more complex variables and conditions.  This has also been a good way for me to work on these challenges while exploring resources that I just received for use in my classroom next year.Click Green Flag to begin.

Click anywhere on the background to create random snowflakes.

Click Space Bar to clear.",1196430,CompTeacherK5,https://cdn2.scratch.mit.edu/get_image/project/237146579_480x360.png,2018-07-23T13:38:54.000Z,2018-07-25T16:45:47.000Z,2018-07-23T14:06:14.000Z,11,6,2,,,19,4,5,0,0,2,1,45,26,2,['en']
26,18,237146315,day 19,first of all i want to build a wall then when i was moving the blocks then i change the idea to this result.,"press green flag, and enjoy !","first of all i want to build a wall then when i was moving the blocks then i change the idea to this result.press green flag, and enjoy !",34188789,fun-timeonly,https://cdn2.scratch.mit.edu/get_image/project/237146315_480x360.png,2018-07-23T13:35:59.000Z,2018-07-23T14:17:47.000Z,2018-07-23T14:13:17.000Z,6,0,0,,,19,2,0,0,0,2,1,17,9,0,['en']
27,18,237149337,Getting Unstuck: Day 19,I've run across the cloning max before so this will only go up to 32 or 33,,,24912473,DominicMyers,https://cdn2.scratch.mit.edu/get_image/project/237149337_480x360.png,2018-07-23T14:08:40.000Z,2018-07-23T14:32:03.000Z,2018-07-23T14:31:23.000Z,9,2,0,,,19,3,1,1,0,6,1,36,19,4,[]
28,18,237134267,Getting Unstuck Day 19,"

Book: Impare a programmare di Boscaini","Click the green flag.



How to change color in the wake that goes down?
I could not do it
","

Book: Impare a programmare di BoscainiClick the green flag.



How to change color in the wake that goes down?
I could not do it
",13275782,elimasa,https://cdn2.scratch.mit.edu/get_image/project/237134267_480x360.png,2018-07-23T10:02:18.000Z,2018-07-25T08:53:50.000Z,2018-07-23T14:31:05.000Z,14,4,0,,,19,5,2,0,0,7,1,41,30,3,['en']
29,18,237146254,Getting Unstuck Challenge 19 - Trivia,"This project is all cloning. I thought of using the import/export csv or txt from the other day. Each category has 6 questions, so the list works as such. 1-6 is category 1, etc. 

Create your csv or txt, import your file into the questions,answers list and project this on the wall as a review in class or just for fun. 

Just added a great idea from @rbotero, to add an option for images to be shown with the question. Will comment more inside the project.

Can add final jeopardy if interested. Thinking of ideas to be used in a classroom setting as reviews etc. Even thinking of adding a Raspberry Pi and some buttons to ""buzz in"" . 

","Click on the question block to reveal the question. 
Press space to show the answer
Press space again to return to the game board
(will add text engine for spelling categories, for now you'll have to go to the paint editor, however, I made them vector so you can click on the text tool and just edit the existing text)

(few tiny issues with my text engine near the right margin, will fix by adding hyphens when I get a chance)

Each clone has an id, and a state if is clickable or not. When you create a ""for this sprite only"" variable each clone will keep their own copy of that variable. Each question block has ""can select local"" variable which is set to 1. As you click each block it sets their own copy to 0, at which point they can no longer be chosen. ","This project is all cloning. I thought of using the import/export csv or txt from the other day. Each category has 6 questions, so the list works as such. 1-6 is category 1, etc. 

Create your csv or txt, import your file into the questions,answers list and project this on the wall as a review in class or just for fun. 

Just added a great idea from @rbotero, to add an option for images to be shown with the question. Will comment more inside the project.

Can add final jeopardy if interested. Thinking of ideas to be used in a classroom setting as reviews etc. Even thinking of adding a Raspberry Pi and some buttons to ""buzz in"" . 

Click on the question block to reveal the question. 
Press space to show the answer
Press space again to return to the game board
(will add text engine for spelling categories, for now you'll have to go to the paint editor, however, I made them vector so you can click on the text tool and just edit the existing text)

(few tiny issues with my text engine near the right margin, will fix by adding hyphens when I get a chance)

Each clone has an id, and a state if is clickable or not. When you create a ""for this sprite only"" variable each clone will keep their own copy of that variable. Each question block has ""can select local"" variable which is set to 1. As you click each block it sets their own copy to 0, at which point they can no longer be chosen. ",3158946,mstone326,https://cdn2.scratch.mit.edu/get_image/project/237146254_480x360.png,2018-07-23T13:35:15.000Z,2018-07-23T19:08:45.000Z,2018-07-23T14:52:44.000Z,26,9,1,,,19,27,18,3,3,109,5,192,46,0,['en']
